ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
eb28be54d00ca3228c43d131c5822ce2	Arthropoda	Insecta	Hemiptera				85.266	public	2	Order		1--2	1
139aac61f5719a55e536b680b70c2985	Arthropoda	Insecta	Lepidoptera				87.5	public	1	Order		1--4	1
64e8693fcce5bdfbe1c6205987597f7f	Arthropoda	Insecta	Hymenoptera				85.197	public	1	Order		4	1
ea85a0125a50e3de1d16040403efd959	Arthropoda	Insecta	Lepidoptera				85.05	public	1	Order		1--4	1
c672a8f06e3572c7b6a61c47dd0f4b76	Arthropoda	Insecta	Lepidoptera				87.5	public	1	Order		1--4	1
bd94d747a622d27b33a5f53361641ecd	Arthropoda	Insecta	Hymenoptera				86.604	public	1	Order		2--4	1
7e84a6cac7da0f66da195a0e21534f2c	Arthropoda	Diplopoda	Julida	Julidae	Brachyiulus	Brachyiulus bagnalli	98.428	public	1	Species	BOLD:ACB4623	4	1
7fa4cc1d739e1d955833de32ad47c825	Arthropoda	Insecta	Hymenoptera				85.047	public	1	Order		4	1
b9b7b862d12b06cad19773d8afbacf7a	Arthropoda	Insecta	Hemiptera				86.859	public	2	Order		1--2	1
541c9cef6d79aef21b2ecbbec9f6f944	Arthropoda	Insecta	Lepidoptera				85.623	public	1	Order		1--4	1
8b57a7e39145c16551de00b4a8610e35	Arthropoda	Insecta	Hymenoptera				86.562	public	1	Order		2--4	1
03481f1c9feae9ddb422d2dc81c55286	Arthropoda	Insecta	Hemiptera				86.817	public	2	Order		1--2	1
c5b971431f064d17de1710a9a039520f	Arthropoda	Insecta	Hymenoptera				87.461	public	1	Order		4	1
6e49e3453d0940f24fb07462c3d24cb4	Arthropoda	Insecta	Lepidoptera				85.623	public	1	Order		1--4	1
f64f8c62efee1f6a80e4f8e1530d8752	Arthropoda	Insecta	Coleoptera				86.916	public	2	Order		2	1
4be05a2f5306a23e4a20fc2c036a71da	Arthropoda	Insecta	Hymenoptera				86.25	public	1	Order		4	1
368a9ca08c4fba3896e1312451c31609	Arthropoda	Insecta	Hymenoptera				87.421	public	1	Order		4	1
a8b880072db9cb7796eb53b391446bd0	Arthropoda	Insecta	Hymenoptera				85.35	public	1	Order		4	1
687bbccaff81ddaf9a00f9ea150a52da	Arthropoda	Chilopoda	Geophilomorpha				85.231	public	1	Order		4	1
f3ff10ea96e67cfe24719ff7a9be9f52	Arthropoda	Diplopoda	Julida	Julidae	Brachyiulus	Brachyiulus bagnalli	98.423	public	1	Species	BOLD:ACB4623	4	1
96fe463c3d87a32eefa595bb56750f9d	Arthropoda	Insecta	Hymenoptera				85.893	public	1	Order		2--4	1
7c9177ad4cfcf3f32a16f0bd12c2aff4	Arthropoda	Insecta	Hymenoptera				86.25	public	1	Order		4	1
a8e43b0047b40762bfe263e23552f8f1	Arthropoda	Insecta	Hymenoptera				85.849	public	1	Order		2--4	1
9fa4ded8bb218deef25182d3844fdfaf	Arthropoda	Insecta	Hymenoptera				87.774	public	1	Order		4	1
fb0e8ce851cfc4423e3a3624ccf802a1	Arthropoda	Insecta	Hymenoptera				85.625	public	1	Order		4	1
f756c59d9eb839b115bb9eb227b34d66	Arthropoda	Insecta	Lepidoptera				86.139	public	2	Order		1--2	1
dc9bd4fc3c495a20021287e3a18234cb	Arthropoda	Insecta	Hemiptera	Miridae	Phytocoris		96.226	public	2	Genus		1	1
9c93612a8f5c1ed3751041cd940b651b	Arthropoda	Insecta	Hymenoptera				86.207	public	1	Order		4	1
94c002c5c5fd3e23262a0d5178ab7f29	Arthropoda	Insecta	Coleoptera				86.875	public	2	Order		2	1
bf749ecc14544a9aa87ba1461b1bf392	Arthropoda	Insecta	Hemiptera				85.893	public	2	Order		1--2	1
31255dd183b3b03dc3d9ac560fa6f416	Arthropoda	Insecta	Hemiptera				86.859	public	2	Order		1--2	1
effdc4eac7a931607b37a6c2648e45ee	Arthropoda	Insecta	Hemiptera				85.22	public	2	Order		1--2	1
66ceb639fc246d6ac2590209b4e93d62	Arthropoda	Insecta	Lepidoptera				86.139	public	2	Order		1--2	1
802c26cbbf2c6a6e8837c6454bd9be32	Arthropoda	Insecta	Coleoptera				86.769	public	2	Order		2	1
5c49b742b778b594be4ceaed95e2b34e	Arthropoda	Insecta	Hymenoptera				86.207	public	1	Order		4	1
1948b8f20ad4bc1ece7d27e420d36a75	Arthropoda	Insecta	Lepidoptera				85.05	public	1	Order		1--4	1
dd293826ceae1dbc79296e202e5ec916	Arthropoda	Insecta	Hymenoptera				87.774	public	1	Order		4	1
8b8afac1a5414d819e71be2424bf02ea	Arthropoda	Insecta	Hymenoptera				85.58	public	1	Order		4	1
a93d0349f25c8a5eb8530bf6085a754b	Arthropoda	Insecta	Hemiptera	Miridae	Phytocoris		96.215	public	2	Genus		1	1
9836d30fc7e68de77ca1c8e3812ef1bb	Arthropoda	Insecta	Hymenoptera				85.938	public	1	Order		4	1
6177408eff51f131b64c721ff1d3629d	Arthropoda	Insecta	Hemiptera				85.849	public	2	Order		1--2	1
7e3c3c7bca7121471e5ad8ae764a58b4	Arthropoda	Insecta	Lepidoptera				87.179	public	1	Order		1--4	1
052af6e7ce8a125dccd7a97360a85806	Arthropoda	Insecta	Hymenoptera				87.147	public	1	Order		4	1
