ID	System	Method	Sample_code	Sampling_date	Replicate	Weight before Kempson	Weight	Arachnida_Acarina_20	Arachnida_Araneae_1	Arachnida_Araneae_5	Arachnida_Pseudoscorpiones_20	Arachnida_Opiliones_10	Arachnida_Scorpiones_10	Arachnida_Palpigradi_10	 Malac._Isopoda_10	Myriapoda_Symphyla_20	Myriapoda_Diplopoda_10	Myriapoda_Diplopoda_20	Myriapoda_Chilopoda_10	Myriapoda_Chilopoda_20	Myriapoda_Pauropoda_20	Entognatha_Collembola_1	Entognatha_Collembola_2	Entognatha_Collembola_4	Entognatha_Collembola_6	Entognatha_Collembola_8	Entognatha_Collembola_10	Entognatha_Collembola_20	Entognatha_Diplura_20	Entognatha_Protura_20	Insecta_Coleoptera_1	Insecta_Coleoptera_5	Insecta_Coleoptera_10	Insecta_Coleoptera_15	Insecta_Coleoptera_20	Insecta_L-Coleoptera_10	Insecta_Diptera_1	Insecta_L-Diptera_10	Insecta_Hymenoptera_1	Insecta_Hymenoptera_5	Insecta_L-Hymenoptera_10	Insecta_Hemiptera_1	Insecta_N-Hemiptera_10	Insecta_Psocoptera_1	Insecta_Thysanoptera_1
EKOJ-K 1_1	jagode	eko	EKOJ-K 1	2023-04-19	1	1.745	1.363	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
EKOJ-K 1_2	jagode	eko	EKOJ-K 1	2023-04-19	2	2.0420000000000003	1.605	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EKOJ-K 1_3	jagode	eko	EKOJ-K 1	2023-04-19	3	2.044	1.613	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
EKOJ-K 2_1	jagode	eko	EKOJ-K 2	2023-04-19	1	1.719	1.336	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
EKOJ-K 2_2	jagode	eko	EKOJ-K 2	2023-04-19	2	1.752	1.339	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EKOJ-K 2_3	jagode	eko	EKOJ-K 2	2023-04-19	3	1.998	1.576	8	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	22	4	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
EKOJ-K 3_1	jagode	eko	EKOJ-K 3	2023-04-19	1	2.029	1.625	3	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EKOJ-K 3_2	jagode	eko	EKOJ-K 3	2023-04-19	2	2.116	1.653	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EKOJ-K 3_3	jagode	eko	EKOJ-K 3	2023-04-19	3	1.911	1.499	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EKOJ-K 4	jagode	eko	EKOJ-K 4	2023-04-19	4	/	/	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	1	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0
INTJ-K 1_1	jagode	int	INTJ-K 1	2023-04-20	1	1.6480000000000001	1.5050000000000001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTJ-K 1_2	jagode	int	INTJ-K 1	2023-04-20	2	1.428	1.204	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
INTJ-K 1_3	jagode	int	INTJ-K 1	2023-04-20	3	1.704	1.586	15	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	2	0	0	1	4	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
